"date","close","volume","open","high","low"
"2014/02/07","14.9267","694548.0000","14.6533","15.1367","13.9167"
"2014/02/06","13.6600","668895.0000","12.9400","14.2350","12.8400"
"2014/02/05","13.0767","1457622.0000","11.6233","13.7417","11.3333"
"2014/02/04","12.3933","1351152.0000","12.9633","13.1933","11.9400"
"2014/02/03","14.7500","298722.0000","15.2267","15.3500","14.5967"
"2014/01/31","14.9267","966933.0000","14.7267","15.9133","14.5667"
"2014/01/30","14.8000","1087986.0000","13.5133","14.8833","13.0603"
"2014/01/29","12.4933","2623608.0000","15.2100","15.4066","12.2433"
"2014/01/28","15.8167","623019.0000","16.8933","16.9600","15.3880"
"2014/01/27","16.9750","652239.0000","16.2167","17.6667","15.8833"
"2014/01/24","15.6333","1245570.0000","17.5700","17.7667","15.3333"
"2014/01/23","18.6933","352983.0000","18.2900","19.5933","17.9933"
"2014/01/22","19.2267","529599.0000","19.8967","20.0467","19.0000"
"2014/01/21","21.0833","178551.0000","21.1600","21.5500","20.9667"
"2014/01/17","22.3500","131658.0000","22.0300","22.3500","21.6667"
"2014/01/16","21.5400","496464.0000","20.4133","21.7700","20.4000"
"2014/01/15","21.9033","162180.0000","21.2767","21.9967","21.0000"
"2014/01/14","21.6433","115785.0000","21.8800","22.2483","21.4400"
"2014/01/13","22.2500","161559.0000","23.0300","23.2800","22.2167"
"2014/01/10","24.7783","50250.0000","25.1667","25.3467","24.6167"
"2014/01/09","25.0400","224952.0000","24.0733","25.6467","23.6270"
"2014/01/08","23.4453","122397.0000","22.5467","23.5067","22.2800"
"2014/01/07","22.2633","110448.0000","21.3467","22.7833","21.2833"
"2014/01/06","22.3130","49785.0000","22.1993","22.7100","22.0000"
"2014/01/03","22.1100","183381.0000","22.6300","23.1733","21.5000"
"2014/01/02","22.2467","38757.0000","22.5333","22.7200","22.2000"
"2013/12/31","23.1200","164193.0000","22.1433","23.3333","22.1433"
"2013/12/30","21.4400","71253.0000","21.1700","21.5667","21.0533"
"2013/12/27","22.1967","180261.0000","21.5933","22.1967","21.3819"
"2013/12/26","20.9467","34098.0000","21.1000","21.5333","20.8300"
"2013/12/24","20.9000","50172.0000","20.8133","21.2700","20.8000"
"2013/12/23","20.2833","71043.0000","20.2867","20.4600","20.0833"
"2013/12/20","20.8000","116700.0000","20.9467","21.0700","20.3700"
"2013/12/19","20.8900","207618.0000","22.0800","22.1900","20.6600"
